     1     1    0.000000   -0.488493    0.000000
     1     2    0.097752   -0.457276    0.000000
     1     3    0.195503   -0.421817    0.000000
     1     4    0.293255   -0.389246    0.000000
     1     5    0.391007   -0.358999    0.000000
     1     6    0.488759   -0.333763    0.000000
     1     7    0.586510   -0.312029    0.000000
     1     8    0.684262   -0.293262    0.000000
     1     9    0.782014   -0.275918    0.000000
     1    10    0.879765   -0.258344    0.000000
     1    11    0.977517   -0.246460    0.000000
     1    12    1.075269   -0.230558    0.000000
     1    13    1.173021   -0.222590    0.000000
     1    14    1.270772   -0.209741    0.000000
     1    15    1.368524   -0.201481    0.000000
     1    16    1.466276   -0.191592    0.000000
     1    17    1.564027   -0.184316    0.000000
     1    18    1.661779   -0.177464    0.000000
     1    19    1.759531   -0.171280    0.000000
     1    20    1.857283   -0.164972    0.000000
     1    21    1.955034   -0.158035    0.000000
     1    22    2.052786   -0.154804    0.000000
     1    23    2.150538   -0.150555    0.000000
     1    24    2.248289   -0.144022    0.000000
     1    25    2.346041   -0.140180    0.000000
     1    26    2.443793   -0.136962    0.000000
     1    27    2.541544   -0.134719    0.000000
     1    28    2.639296   -0.130988    0.000000
     1    29    2.737048   -0.128492    0.000000
     1    30    2.834800   -0.125543    0.000000
     1    31    2.932551   -0.122958    0.000000
     1    32    3.030303   -0.120884    0.000000
     1    33    3.128055   -0.118270    0.000000
     1    34    3.225806   -0.115586    0.000000
     1    35    3.323558   -0.112898    0.000000
     1    36    3.421310   -0.111383    0.000000
     1    37    3.519062   -0.109555    0.000000
     1    38    3.616813   -0.107196    0.000000
     1    39    3.714565   -0.105913    0.000000
     1    40    3.812317   -0.105175    0.000000
     1    41    3.910068   -0.100924    0.000000
     1    42    4.007820   -0.099867    0.000000
     1    43    4.105572   -0.099286    0.000000
     1    44    4.203324   -0.097228    0.000000
     1    45    4.301075   -0.096781    0.000000
     1    46    4.398827   -0.095077    0.000000
     1    47    4.496579   -0.093421    0.000000
     1    48    4.594330   -0.092182    0.000000
     1    49    4.692082   -0.089922    0.000000
     1    50    4.789834   -0.090016    0.000000
     1    51    4.887586   -0.090204    0.000000
     1    52    4.985337   -0.089037    0.000000
     1    53    5.083089   -0.087214    0.000000
     1    54    5.180841   -0.084786    0.000000
     1    55    5.278592   -0.085092    0.000000
     1    56    5.376344   -0.084410    0.000000
     1    57    5.474096   -0.083392    0.000000
     1    58    5.571848   -0.082814    0.000000
     1    59    5.669599   -0.080723    0.000000
     1    60    5.767351   -0.079318    0.000000
     1    61    5.865103   -0.080527    0.000000
     1    62    5.962854   -0.079830    0.000000
     1    63    6.060606   -0.076628    0.000000
     1    64    6.158358   -0.077736    0.000000
     1    65    6.256109   -0.076595    0.000000
     1    66    6.353861   -0.076303    0.000000
     1    67    6.451613   -0.075582    0.000000
     1    68    6.549365   -0.073391    0.000000
     1    69    6.647116   -0.072814    0.000000
     1    70    6.744868   -0.073116    0.000000
     1    71    6.842620   -0.069122    0.000000
     1    72    6.940371   -0.071806    0.000000
     1    73    7.038123   -0.070320    0.000000
     1    74    7.135875   -0.070320    0.000000
     1    75    7.233627   -0.068892    0.000000
     1    76    7.331378   -0.067570    0.000000
     1    77    7.429130   -0.068354    0.000000
     1    78    7.526882   -0.067391    0.000000
     1    79    7.624633   -0.066661    0.000000
     1    80    7.722385   -0.065524    0.000000
     1    81    7.820137   -0.066387    0.000000
     1    82    7.917889   -0.063700    0.000000
     1    83    8.015640   -0.063812    0.000000
     1    84    8.113392   -0.063215    0.000000
     1    85    8.211144   -0.062398    0.000000
     1    86    8.308895   -0.062224    0.000000
     1    87    8.406647   -0.062495    0.000000
     1    88    8.504399   -0.061950    0.000000
     1    89    8.602151   -0.059112    0.000000
     1    90    8.699902   -0.060004    0.000000
     1    91    8.797654   -0.059975    0.000000
     1    92    8.895406   -0.061173    0.000000
     1    93    8.993157   -0.059066    0.000000
     1    94    9.090909   -0.059237    0.000000
     1    95    9.188661   -0.059696    0.000000
     1    96    9.286413   -0.056904    0.000000
     1    97    9.384164   -0.058528    0.000000
     1    98    9.481916   -0.057714    0.000000
     1    99    9.579668   -0.055364    0.000000
     1   100    9.677419   -0.056265    0.000000
     1   101    9.775171   -0.055897    0.000000
     1   102    9.872923   -0.055264    0.000000
     1   103    9.970674   -0.054935    0.000000
     1   104   10.068426   -0.053879    0.000000
     1   105   10.166178   -0.054654    0.000000
     1   106   10.263930   -0.052449    0.000000
     1   107   10.361681   -0.054110    0.000000
     1   108   10.459433   -0.052797    0.000000
     1   109   10.557185   -0.052556    0.000000
     1   110   10.654936   -0.051836    0.000000
     1   111   10.752688   -0.053138    0.000000
     1   112   10.850440   -0.051617    0.000000
     1   113   10.948192   -0.050387    0.000000
     1   114   11.045943   -0.049491    0.000000
     1   115   11.143695   -0.050079    0.000000
     1   116   11.241447   -0.049855    0.000000
     1   117   11.339198   -0.049673    0.000000
     1   118   11.436950   -0.048419    0.000000
     1   119   11.534702   -0.050427    0.000000
     1   120   11.632454   -0.048944    0.000000
     1   121   11.730205   -0.048544    0.000000
     1   122   11.827957   -0.048041    0.000000
     1   123   11.925709   -0.048876    0.000000
     1   124   12.023460   -0.046476    0.000000
     1   125   12.121212   -0.048646    0.000000
     1   126   12.218964   -0.046131    0.000000
     1   127   12.316716   -0.046301    0.000000
     1   128   12.414467   -0.046019    0.000000
     1   129   12.512219   -0.046505    0.000000
     1   130   12.609971   -0.045173    0.000000
     1   131   12.707722   -0.046253    0.000000
     1   132   12.805474   -0.045183    0.000000
     1   133   12.903226   -0.045550    0.000000
